SA2 Code,SA2 Name,Region (SA3),LGA Code,LGA Name,Trent.Labour Force,Trend.Unemployment,Trend.Unemployment Rate (%),Trend.Jobseeker,Trend.Value of building job(s),Trend.Number of dwellings approved,Trend.Visitor Spend,Trend.Resident Spend,Trend.House Price (Current),Trend.House Rent (P/W),Trend.Unit Price (Current),Trend.Unit Rent (P/W),Trend. Airbnb ADR,Trend.Airbnb Gross Revenue,Trend.Homelessness,Trend.Total Businesses,Trend.Healthcare Businesses,Trend.Tourism Businesses,Trend.Manufacturing Businesses
120031394,Dulwich Hill - Lewisham,Strathfield - Burwood - Ashfield,14170,Inner West,Down,Down,Up,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Down,Flat,Flat,Flat,Flat
115011555,Castle Hill - North,Baulkham Hills,17420,The Hills,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Down,Flat,Flat,Flat,Flat
122021691,North Narrabeen - Warriewood (South),Pittwater,15990,Northern Beaches,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat
118021651,Coogee - Clovelly,Eastern Suburbs - South,16550,Randwick,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat
122021421,Bayview - Elanora Heights,Pittwater,15990,Northern Beaches,Up,Up,Up,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Up,Flat,Flat,Flat,Flat
117031646,Ultimo,Sydney Inner City,17200,Sydney,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat
111031233,Wallsend - Elermore Vale,Newcastle,15900,Newcastle,Down,Up,Up,Up,Up,Up,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Up,Down,Down,Up
122031694,Dee Why (South) - North Curl Curl,Warringah,15990,Northern Beaches,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat
115011554,Castle Hill - East,Baulkham Hills,14000,Hornsby,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat
125021477,Ermington - Rydalmere,Carlingford,16260,Parramatta,Up,Down,Down,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Up,Flat,Flat,Flat,Flat
111031222,Adamstown - Kotara,Newcastle,15900,Newcastle,Down,Up,Up,Down,Up,Up,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Up,Down,Up,Down,Down
125041493,Toongabbie - Constitution Hill,Parramatta,16260,Parramatta,Up,Up,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Up,Flat,Flat,Flat,Flat
106021617,Tenambit - East Maitland,Maitland,15050,Maitland,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat
122031692,Belrose,Warringah,15990,Northern Beaches,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat
117031645,Sydney (South) - Haymarket,Sydney Inner City,17200,Sydney,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat
111021216,Bonnells Bay - Silverwater,Lake Macquarie - West,14650,Lake Macquarie,Down,Up,Up,Down,Up,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Down,Up,Up,Up,Down
102021057,Wyong,Wyong,11650,Central Coast (NSW),Up,Down,Down,Flat,Up,Up,Up,Up,Up,Down,Up,Up,Flat,Flat,Up,Up,Up,Down,Down
120031395,Haberfield - Summer Hill,Strathfield - Burwood - Ashfield,14170,Inner West,Down,Down,Down,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Down,Flat,Flat,Flat,Flat
102021053,The Entrance,Wyong,11650,Central Coast (NSW),Up,Down,Down,Down,Up,Up,Up,Up,Down,Up,Up,Down,Up,Up,Down,Up,Up,Up,Up
115041623,Box Hill - Nelson,Rouse Hill - McGraths Hill,17420,The Hills,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat
106021114,Maitland,Maitland,15050,Maitland,Up,Up,Up,Up,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Up,Up,Up,Down,Flat
118021652,Malabar - La Perouse,Eastern Suburbs - South,16550,Randwick,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat
111011211,Redhead,Lake Macquarie - East,14650,Lake Macquarie,Down,Up,Up,Flat,Down,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Up,Up,Down,Down,Down
104021085,Coffs Harbour - South,Coffs Harbour,11800,Coffs Harbour,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat
117031641,Pyrmont,Sydney Inner City,17200,Sydney,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat
111011212,Swansea - Caves Beach,Lake Macquarie - East,14650,Lake Macquarie,Down,Up,Up,Up,Down,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Up,Up,Up,Down,Down
