SA2 Code,SA2 Name,Region (SA3),LGA Code,LGA Name,Total Businesses,Manufacturing Businesses,Healthcare Businesses,Tourism Businesses,Unemployment,Unemployment Rate (%),JobSeeker Payment,Labour Force,Value of building job(s),Number of dwellings approved,Total Spend,House Price (Current),House Rent (P/W),Listing Visits per Property,Unit Price (Current),Unit Rent (P/W),Median Household Income,Total Population,Population Change 2023-24,Net overseas migration,Net internal migration,Natural increase in ERP,Median Age,% Under 20,% Over 69,% Born Overseas,% Language Other Than English,Population density 2024 (persons/km2),% Completed Year 12,% Bachelor Degree,% Indigenous,Total Indigenous,Homelessness,Age Pension,Pension Concession Card,Commonwealth Rent Assistance,Family Tax Benefit A,Youth Allowance (other),Parenting Payment Single,Health Care Card,Carer Allowance,Disability Support Pension,Airbnb Occupancy Rate,Airbnb ADR,Airbnb  Gross Revenue,Airbnb Active Listings,Index of Relative Socio-economic Advantage and Disadvantage,Index of Education and Occupation,Index of Relative Socio-economic Disadvantage ,Index of Economic Resources,"Assault Rate (per 1,000)","Theft Rate (per 1,000)","Intimidation, Stalking & Harassment Rate (per 1,000)","Malicious Damage to Property Rate (per 1,000)","Drug Offences Rate (per 1,000)"
120031394,Dulwich Hill - Lewisham,Strathfield - Burwood - Ashfield,14170,Inner West,1354.0,36.0,124.0,54.0,608.0,4.9,485.0,12439.0,,,,,,,,,1837.0,18681.0,196.0,322.0,-208.0,82.0,37.0,,,32.88,30.0,6914.8,57.19,20.74,1.49,251.0,121.0,1300.0,2120.0,930.0,340.0,35.0,95.0,630.0,260.0,370.0,,,,,1105.692916,1136.8504283,1050.854798,973.9932154,,,,,
115011555,Castle Hill - North,Baulkham Hills,17420,The Hills,1465.0,42.0,154.0,60.0,,,180.0,,397453.45,400.0,,,,,,,2344.0,12572.0,56.0,252.0,-198.0,2.0,41.0,,,36.67,31.37,1844.8,54.4,18.58,0.33,39.0,55.0,885.0,1235.0,330.0,310.0,15.0,55.0,330.0,160.0,140.0,,,,,1130.677485,1122.5759918,1092.161404,1118.878635,,,,,
122021691,North Narrabeen - Warriewood (South),Pittwater,15990,Northern Beaches,,,,,,,,,,,,,,,,,,11056.0,-40.0,183.0,-254.0,31.0,,,,,,2125.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
118021651,Coogee - Clovelly,Eastern Suburbs - South,16550,Randwick,,,,,,,,,,,,,,,,,,20427.0,263.0,613.0,-557.0,207.0,,,,,,7556.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
122021421,Bayview - Elanora Heights,Pittwater,15990,Northern Beaches,1528.0,51.0,57.0,30.0,230.0,3.9,110.0,5969.0,42464.81,15.0,,,,,,,2127.0,11332.0,38.0,146.0,-105.0,-3.0,47.0,,,23.69,7.91,175.5,50.12,16.28,0.49,53.0,34.0,945.0,1230.0,200.0,185.0,5.0,40.0,165.0,105.0,120.0,,,,,1124.487756,1107.0656676,1097.785493,1120.358113,,,,,
117031646,Ultimo,Sydney Inner City,17200,Sydney,,,,,,,,,,,,,,,,,,10044.0,723.0,1158.0,-477.0,42.0,,,,,,17974.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
111031233,Wallsend - Elermore Vale,Newcastle,15900,Newcastle,1127.0,26.0,125.0,48.0,723.0,6.3,840.0,11471.0,45808.44700000001,61.0,,,,,,,1189.0,21691.0,296.0,163.0,148.0,-15.0,40.0,21.56,16.79,13.63,10.95,1007.9,33.53,9.92,4.33,849.0,204.0,3055.0,5215.0,1420.0,985.0,145.0,305.0,1145.0,655.0,1105.0,,,,,960.9333841,967.85329052,976.4232152,962.2779259,,,,,
122031694,Dee Why (South) - North Curl Curl,Warringah,15990,Northern Beaches,,,,,,,,,,,,,,,,,,9396.0,35.0,188.0,-215.0,62.0,,,,,,4718.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
115011554,Castle Hill - East,Baulkham Hills,14000,Hornsby,447.0,7.0,54.0,14.0,,,25.0,,6384.6140000000005,0.0,,,,,,,1695.0,5384.0,-10.0,91.0,65.0,-166.0,51.0,,,39.46,33.02,2598.5,50.21,18.68,0.23,13.0,,780.0,870.0,120.0,90.0,5.0,5.0,95.0,50.0,40.0,,,,,1089.270164,1084.2838952,1059.096521,1079.226558,,,,,
125021477,Ermington - Rydalmere,Carlingford,16260,Parramatta,2995.0,134.0,149.0,118.0,593.0,3.6,775.0,16278.0,,,,,,,,,,,,,,,,,,,,,,,,,76.0,2045.0,3710.0,895.0,1010.0,55.0,150.0,1075.0,580.0,765.0,,,,,1044.723644,1060.44054,1007.926055,998.8315132,,,,,
111031222,Adamstown - Kotara,Newcastle,15900,Newcastle,1320.0,25.0,220.0,56.0,338.0,3.3,440.0,10130.0,153211.639,216.0,,,,,,,1547.0,17326.0,246.0,107.0,19.0,120.0,38.0,25.69,12.01,11.92,7.99,2160.8,42.72,14.8,2.42,377.0,132.0,1470.0,2480.0,830.0,500.0,55.0,135.0,640.0,315.0,520.0,,,,,1054.346697,1054.2586921,1060.835448,1027.956192,,,,,
125041493,Toongabbie - Constitution Hill,Parramatta,16260,Parramatta,2160.0,48.0,150.0,81.0,534.0,3.7,600.0,14260.0,,,,,,,,,,,,,,,,,,,,,,,,,20.0,2515.0,3835.0,970.0,820.0,55.0,155.0,890.0,505.0,550.0,,,,,1036.30862,1040.6514936,1019.923648,1010.69264,,,,,
106021617,Tenambit - East Maitland,Maitland,15050,Maitland,,,,,,,,,,,,,,,,,,10469.0,72.0,28.0,12.0,32.0,,,,,,605.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
122031692,Belrose,Warringah,15990,Northern Beaches,,,,,,,,,,,,,,,,,,8786.0,49.0,83.0,61.0,-95.0,,,,,,653.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
117031645,Sydney (South) - Haymarket,Sydney Inner City,17200,Sydney,,,,,,,,,,,,,,,,,,23756.0,1097.0,2253.0,-1238.0,82.0,,,,,,21975.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
111021216,Bonnells Bay - Silverwater,Lake Macquarie - West,14650,Lake Macquarie,580.0,19.0,37.0,20.0,290.0,5.8,375.0,4998.0,31519.725,24.0,,,,,,,1238.0,10140.0,113.0,44.0,5.0,64.0,43.0,23.54,16.5,11.98,4.08,998.1,29.94,8.06,4.37,381.0,31.0,1485.0,2385.0,725.0,570.0,55.0,200.0,550.0,315.0,370.0,,,,,963.2082322,944.27517125,992.5430443,1011.382347,,,,,
102021057,Wyong,Wyong,11650,Central Coast (NSW),829.0,43.0,53.0,67.0,392.0,8.9,615.0,4423.0,28052.646999999997,21.0,11999000.0,898000.0,630.0,1108.0,565000.0,538.0,1056.0,9360.0,61.0,70.0,-56.0,47.0,40.0,24.62,13.09,15.01,8.18,622.6,27.15,5.46,6.61,583.0,236.0,1175.0,2710.0,1180.0,710.0,105.0,240.0,735.0,425.0,760.0,,,,,891.5212007,897.04498859,897.2578852,924.6398615,12.36,42.12,23.19,19.58,16.41
120031395,Haberfield - Summer Hill,Strathfield - Burwood - Ashfield,14170,Inner West,1549.0,38.0,217.0,70.0,326.0,3.7,305.0,8720.0,,,,,,,,,2020.0,14007.0,119.0,224.0,-99.0,-6.0,39.0,,,32.12,30.78,4031.3,55.66,21.31,0.76,103.0,66.0,980.0,1560.0,560.0,195.0,15.0,25.0,385.0,215.0,340.0,,,,,1123.717527,1136.2015629,1073.465493,1031.698678,,,,,
102021053,The Entrance,Wyong,11650,Central Coast (NSW),1237.0,33.0,82.0,94.0,468.0,5.9,910.0,7907.0,93188.37800000001,139.0,13249000.0,1405800.0,775.2,639.8,851040.0,603.0,984.0,16155.0,187.0,138.0,25.0,24.0,45.0,18.77,18.77,12.55,5.99,1165.8,29.13,7.06,4.42,661.0,273.0,2660.0,4740.0,2030.0,900.0,90.0,355.0,885.0,535.0,920.0,18.25,336.33058472832636,355429.82772042765,281.566667,934.6353236,943.62252398,944.5813956,929.5820847,5.24,26.33,9.66,8.9,4.74
115041623,Box Hill - Nelson,Rouse Hill - McGraths Hill,17420,The Hills,,,,,,,,,,,,,,,,,,22420.0,4042.0,137.0,3550.0,355.0,,,,,,1064.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
106021114,Maitland,Maitland,15050,Maitland,831.0,23.0,90.0,48.0,215.0,4.3,445.0,4953.0,,,,,,,,,1430.0,9537.0,168.0,25.0,82.0,61.0,35.0,27.2,9.18,8.12,3.79,297.3,29.79,7.54,5.9399999999999995,392.0,116.0,820.0,1825.0,930.0,610.0,65.0,215.0,570.0,325.0,425.0,,,,,963.9537798,940.85786467,987.0097829,1013.436397,,,,,
118021652,Malabar - La Perouse,Eastern Suburbs - South,16550,Randwick,,,,,,,,,,,,,,,,,,10915.0,114.0,192.0,-22.0,-56.0,,,,,,1297.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
111011211,Redhead,Lake Macquarie - East,14650,Lake Macquarie,369.0,17.0,37.0,4.0,37.0,1.9,90.0,1933.0,11033.026,9.0,,,,,,,1281.0,3746.0,-23.0,20.0,14.0,-57.0,46.0,23.81,20.48,10.27,4.04,1016.8,35.27,12.26,2.65,93.0,12.0,760.0,965.0,435.0,70.0,5.0,15.0,85.0,75.0,105.0,,,,,1035.0505,1011.5441006,1042.743233,1057.076925,,,,,
104021085,Coffs Harbour - South,Coffs Harbour,11800,Coffs Harbour,1453.0,52.0,223.0,100.0,,,825.0,,,,,,,,,,,11391.0,22.0,123.0,-7.0,-94.0,,,,,,338.0,,,,,,1830.0,3490.0,1610.0,760.0,115.0,245.0,810.0,345.0,780.0,,,,,925.4843319,941.96394813,928.6519122,929.3466585,,,,,
117031641,Pyrmont,Sydney Inner City,17200,Sydney,,,,,,,,,,,,,,,,,,13958.0,219.0,925.0,-761.0,55.0,,,,,,15010.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
